1	42	36	30	29	17	25	23	26	57	
12	54	45	36	42	17	25	29	58	6	
29	16	26	12	42	13	58	36	6	25	
6	29	16	58	32	42	36	25	17	18	
30	29	14	54	26	9	42	17	58	11	
16	26	30	13	17	18	12	58	36	21	
54	6	12	30	14	36	24	45	58	8	
6	58	29	36	42	7	24	12	11	17	
29	6	26	11	25	17	18	42	36	32	
58	6	36	29	30	16	26	25	57	32	
30	42	29	25	36	18	16	12	23	26	
30	12	40	14	45	29	18	25	46	42	
36	30	42	18	16	25	11	26	9	58	
30	12	60	36	29	45	14	42	25	49	
29	26	16	3	30	9	17	48	20	42	
26	11	16	30	12	58	2	36	54	19	
36	58	7	29	57	17	30	42	16	24	
30	60	12	14	40	36	57	58	7	49	
30	12	40	36	58	60	14	24	25	26	
36	58	42	29	30	17	18	26	32	12	
12	16	26	29	58	36	17	42	45	25	
30	40	12	29	26	16	14	60	42	45	
30	25	12	36	18	29	17	54	14	16	
12	45	49	55	15	40	21	26	36	42	
16	30	58	29	36	25	26	18	32	11	
6	32	12	36	58	40	42	4	25	16	
32	7	36	16	25	33	57	26	29	13	
6	24	40	7	58	8	57	25	33	37	
6	26	16	29	32	9	25	57	36	20	
30	36	12	42	29	14	17	15	16	57	
29	25	18	36	21	30	17	26	16	43	
16	29	26	12	9	19	58	17	20	22	
6	32	30	33	58	25	12	16	7	57	
29	30	16	26	17	18	20	58	25	12	
58	7	24	36	16	26	4	8	29	42	
29	42	16	14	36	54	60	25	15	26	
58	25	7	29	30	26	16	32	40	9	
18	36	29	42	25	50	44	16	20	11	
25	30	17	42	6	7	12	16	26	21	
29	13	26	36	58	6	16	30	3	42	
25	7	57	24	32	8	29	18	26	16	
13	26	16	30	3	20	12	22	19	42	
30	26	9	14	58	6	42	11	60	45	
58	16	29	25	36	57	42	18	17	3	
16	25	17	30	36	57	26	6	7	12	
42	29	16	25	57	36	18	26	30	20	
29	16	42	9	26	20	36	19	21	3	
30	12	6	54	26	29	7	14	45	17	
29	58	30	13	16	26	17	25	42	57	
16	29	25	7	32	42	18	9	17	24	
25	57	42	58	30	17	6	29	12	32	
29	30	42	16	17	18	9	12	20	15	
29	16	25	20	17	57	36	3	7	32	
29	16	26	57	17	18	6	9	12	7	
26	11	16	30	18	21	17	19	2	12	
16	26	7	36	25	29	57	8	33	42	
26	58	16	29	9	30	12	32	2	13	
29	58	16	25	18	20	17	30	7	3	
42	18	16	58	26	6	7	12	21	53	
25	36	30	6	17	18	29	16	12	26	
29	17	26	42	14	18	15	2	54	58	
16	11	29	2	26	30	58	17	19	12	
29	26	11	30	6	13	19	36	12	18	
30	29	11	16	26	54	14	1	18	17	
30	12	9	60	1	14	29	13	45	26	
16	58	29	30	6	3	12	9	25	36	
30	29	16	11	6	13	54	58	2	3	
16	29	2	58	6	20	19	9	18	32	
29	26	6	16	58	42	37	30	36	25	
29	58	26	36	2	17	30	42	18	25	
29	26	16	58	30	17	36	42	9	2	
